,United States,Poland,Great Britain,Japan,Sweden,Unified Team,Italy,Ukraine,Soviet Union,China,Mexico,Netherlands,France,South Korea,Finland,Australia,Russia
1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,0,0,1,0,0,0,0,0,0,2,0,0,1,2,0,0,6
1976,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,6
1980,0,0,4,0,0,1,0,0,0,0,0,0,7,0,0,0,0
1984,0,2,0,0,0,0,1,0,0,0,0,4,0,0,0,0,5
1988,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,3
1992,0,0,0,3,1,0,0,0,0,0,0,7,0,0,0,1,0
1996,0,2,0,0,0,0,0,0,0,0,0,4,0,2,1,0,3
2000,3,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,2
2004,1,0,0,0,1,3,2,0,0,0,0,5,0,0,0,0,0
2008,0,3,0,0,0,0,0,0,0,0,1,5,0,0,3,0,0
2012,0,1,0,0,0,0,2,3,0,0,0,6,0,0,0,0,0
